Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
csvsMLAJQ_ViKlRHxGBBKd9z4LwwwBTH8XTeOJnHhiw,2020-6-11,2,1159150409,1,0.000012983392
ubE6McUah_5eFsjUAyCYiRv62fkf1EZDr8kTWJ8U7X8,2021-3-26,1,315352,1,0.000199547236
26HLFIsSi41BPXYnowE0VDt86_eqWnnl6nM130DQ7f4,2021-3-26,1,525128,1,0.000330950923
bmB26DEPmNI84nPgd4icizuQQQc7jqFKeg7SnE-2-PU,2019-3-26,283,57530152,283,0.036911252431000026
WnIO32XaOYwnu_DMIfwvcDlTBJZXBfdsrYssEJDPBNI,2021-3-26,1,317179,1,0.000200691669
z_oLJVydsq27IgMzF8f19TTMk--TyJOU_iyExfrGhuc,2021-3-26,1,326690,1,0.00020664936
ljvCPN31XCLPkBo9FUeB7vAK0VC6-eY52-CS-6Iho8U,2021-3-20,1,5591,0,0.000008104363
-etIJcPMQOLvXvp1x8Fx1fMybcDQy7F5RK1QBBapPgg,2020-6-11,2,1159150409,1,0.000012983392
t0-T_WagzYc_PMUle868cR8uiHTdxCeelw2mO_0axn0,2021-3-21,1,505830,1,0.000318862656
0j7AV4wXnbZ2KfYkc84rTVu-LMt0YCwt4Pv2vmqQuUU,2020-6-11,3,1159176189,2,0.000031142728
aXuE-dpAk3si9bRd3AIsnO8-6WYYZKCT7GguvdfQMQs,2020-6-11,2,1159161882,1,0.00002017008
tBBScYE7NX7tO_fZ-vY_Qm97GgJbbRoOt7nPDyLeGi0,2020-6-11,2,1159150409,1,0.000012983392
YsGkhSG2Z8XqYm_s5SqFz8-IfoapTp-usHAv5vK9w6c,2020-6-11,2,1159161882,1,0.00002017008
1hF0uRdQQzSnVbvJtVIiFiNCL-Frc5XJEpdkutcgEVc,2020-6-11,2,1159161882,1,0.00002017008
9WS6dmiiLr6rN7jRPg3Fl7CrBg4jHHUAnfz_U68jaW8,2020-6-11,2,1159150409,1,0.000012983392
HDbjgIUBRSsPv_eMzBalc7HfFSdIT8KuCqDGV8mMSm0,2020-6-11,2,1159150409,1,0.000012983392
Et81ZLVdMJBA6RPz9q_nzbY4HaW5crMP4UwmNZfvJyM,2020-6-11,2,1159161882,1,0.00002017008
PUT0h1Qq5TsX0V0uFPKuyZJ9E4YdHWfhVCU2YbqNz2I,2021-3-21,1,893071,1,0.000561430418
NUuhXQ9dzsyrTLbJ0DsfAVws4lmg2f2HYXi4Gu64uzM,2020-6-11,2,1159161882,1,0.00002017008
UvsSXAKpSW1_DRXf03QzT0enKd1wEsAXqZ18CSe8xQo,2020-6-11,3,1159176189,2,0.000031142728
2RUnaoOYhFM9u0817FrPjMoChcyc9U-jGUR21bVJv5g,2020-6-11,3,1159164716,2,0.000023956040000000002
rppKd-bfZ4xrJsrX5p6wgwyu-ZUdxrj2GSKD7wXaDcg,2020-6-11,2,1159150409,1,0.000012983392
cR4Nladw6PirtrwdPU_RCYIW-fXy7l1VO_WM4N0Tqdg,2020-6-11,2,1159150409,1,0.000012983392
GlBMCIQ-0bXRTNN4copNBw-Vk0_RTrOdbXHtgGBiJlE,2021-3-21,1,1759188,1,0.001103966107
rII6ccAGjvrzLEBA3QQ96tyy_pc2HIFxWM4stw8z8CA,2020-6-11,3,1159164716,2,0.000023956040000000002
